TranscriptID B1_expectedCount B1_TPM B2_expectedCount B2_TPM B3_expectedCount B3_TPM B4_expectedCount B4_TPM
MCOS_0000000601-mRNA-1 107.00 13.74 156.00 21.91 72.00 15.08 105.00 16.37
MCOS_0000001101-mRNA-1 12.87 3.56 8.30 2.56 0.25 0.11 0.00 0.00
MCOS_0000001301-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000003001-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000008401-mRNA-1 2.00 0.12 23.00 1.55 1.00 0.10 29.00 2.17
MCOS_0000008501-mRNA-1 14.00 1.01 27.00 2.10 14.00 1.63 34.00 2.93
MCOS_0000008601-mRNA-1 0.00 0.00 1.00 0.70 0.00 0.00 0.00 0.00
MCOS_0000010301-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000010501-mRNA-1 1.55 0.11 0.80 0.06 2.24 0.26 7.15 0.62
MCOS_0000011201-mRNA-1 60.41 7.47 42.06 5.68 26.25 5.29 54.11 8.11
MCOS_0000011901-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000012301-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000013601-mRNA-1 3.38 0.18 65.73 3.85 26.57 2.33 40.48 2.62
MCOS_0000014101-mRNA-1 0.00 0.00 3.68 0.31 0.00 0.00 2.93 0.27
MCOS_0000014501-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000015701-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000015801-mRNA-1 0.00 0.00 6.00 0.15 1.00 0.04 3.00 0.08
MCOS_0000016001-mRNA-1 230.30 28.34 179.44 24.13 115.98 23.26 165.32 24.67
MCOS_0000019001-mRNA-1 66.95 16.48 78.05 21.38 38.73 15.73 33.62 10.27
MCOS_0000021101-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000021701-mRNA-1 0.00 0.00 1.00 0.14 0.00 0.00 0.00 0.00
MCOS_0000023601-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000025001-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000025201-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000025401-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000025801-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000026401-mRNA-1 1517.00 77.35 4154.00 228.69 1947.00 160.38 3332.00 202.79
MCOS_0000026501-mRNA-1 6565.00 347.26 8361.00 477.69 4846.00 414.21 7735.00 488.58
MCOS_0000026801-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000027501-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000027701-mRNA-1 1.02 0.04 27.66 1.05 7.16 0.41 13.90 0.58
MCOS_0000028001-mRNA-1 3.00 0.63 17.00 3.95 4.00 1.38 14.00 3.63
MCOS_0000028601-mRNA-1 5.07 0.74 0.80 0.13 0.21 0.05 3.99 0.71
MCOS_0000029401-mRNA-1 34.00 26.26 25.00 22.36 34.00 44.30 28.00 28.06
MCOS_0000029601-mRNA-1 0.00 0.00 1.00 0.81 0.00 0.00 0.00 0.00
MCOS_0000029701-mRNA-1 0.00 0.00 15.00 2.37 4.00 0.94 19.00 3.34
MCOS_0000030701-mRNA-1 11.80 0.64 2.23 0.13 1.33 0.12 5.05 0.33
MCOS_0000033401-mRNA-1 1.03 1.32 2.07 3.11 1.00 2.17 2.04 3.43
MCOS_0000033701-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000033901-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000034001-mRNA-1 0.00 0.00 2.50 0.22 0.00 0.00 0.00 0.00
MCOS_0000035801-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000035901-mRNA-1 0.00 0.00 2.00 0.47 1.00 0.35 0.00 0.00
MCOS_0000036401-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000036501-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000037501-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000037601-mRNA-1 135.00 81.95 86.00 59.96 73.00 74.48 103.00 80.42
MCOS_0000039201-mRNA-1 7.00 0.27 56.18 2.33 33.00 2.04 49.98 2.29
MCOS_0000040301-mRNA-1 300.00 453.14 228.00 406.44 170.00 436.24 211.00 421.57
MCOS_0000040801-mRNA-1 1.00 0.27 0.00 0.00 1.00 0.45 0.00 0.00
MCOS_0000042901-mRNA-1 0.00 0.00 1.00 0.09 0.00 0.00 1.00 0.10
MCOS_0000043101-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000045001-mRNA-1 4187.00 4011.34 1761.00 1966.58 2189.00 3547.84 1527.00 1911.17
MCOS_0000046101-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000046901-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000048001-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000049601-mRNA-1 0.00 0.00 3.00 0.40 1.00 0.20 0.00 0.00
MCOS_0000050801-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000050901-mRNA-1 0.00 0.00 0.00 0.00 2.48 0.38 0.00 0.00
MCOS_0000052101-mRNA-1 34.45 13.57 0.00 0.00 2.23 1.47 0.00 0.00
MCOS_0000052701-mRNA-1 439.50 86.76 290.42 63.39 230.29 74.70 261.30 63.49
MCOS_0000052801-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
