TranscriptID;ICR_expectedCount;ICR_TPM;ICR2_expectedCount;ICR2_TPM;ICR3_expectedCount;ICR3_TPM;ICR4_expectedCount;ICR4_TPM
MCOS_0000000601-mRNA-1;77.00;12.68;123.00;16.61;95.00;15.61;97.00;19.20
MCOS_0000001101-mRNA-1;14.44;5.24;41.07;12.09;6.07;2.20;15.90;6.80
MCOS_0000001301-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000003001-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000008401-mRNA-1;14.00;1.11;19.00;1.24;45.00;3.55;10.00;0.96
MCOS_0000008501-mRNA-1;22.00;2.01;43.00;3.24;37.00;3.37;26.00;2.88
MCOS_0000008601-mRNA-1;1.00;0.82;0.00;0.00;2.00;1.63;1.00;0.94
MCOS_0000010301-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000010501-mRNA-1;3.57;0.33;3.13;0.24;6.06;0.56;0.00;0.00
MCOS_0000011201-mRNA-1;60.94;9.65;47.62;6.19;45.73;7.23;19.73;3.76
MCOS_0000011901-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000012301-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000013601-mRNA-1;36.17;2.48;67.85;3.84;66.09;4.53;9.36;0.78
MCOS_0000014101-mRNA-1;0.00;0.00;4.23;0.34;1.33;0.13;0.00;0.00
MCOS_0000014501-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000015701-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000015801-mRNA-1;8.00;0.24;2.00;0.05;7.00;0.21;2.00;0.07
MCOS_0000016001-mRNA-1;155.01;24.44;87.05;11.26;175.99;27.70;197.71;37.51
MCOS_0000019001-mRNA-1;33.51;10.78;35.94;9.39;22.94;7.35;37.83;14.38
MCOS_0000021101-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000021701-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000023601-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000025001-mRNA-1;0.00;0.00;0.00;0.00;0.05;0.00;0.00;0.00
MCOS_0000025201-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000025401-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000025801-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000026401-mRNA-1;3043.00;196.12;3242.00;172.64;3424.00;220.46;2311.00;181.32
MCOS_0000026501-mRNA-1;4909.00;328.33;6838.00;377.82;6891.00;460.45;4338.00;353.10
MCOS_0000026801-mRNA-1;0.00;0.00;2.00;0.61;0.00;0.00;1.00;0.44
MCOS_0000027501-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000027701-mRNA-1;7.31;0.32;32.29;1.18;28.57;1.26;0.00;0.00
MCOS_0000028001-mRNA-1;9.00;2.46;11.00;2.45;18.00;4.90;3.00;0.97
MCOS_0000028601-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;5.07;1.14
MCOS_0000029401-mRNA-1;28.00;29.36;21.00;17.56;34.00;35.43;23.00;27.42
MCOS_0000029601-mRNA-1;1.00;0.95;0.00;0.00;1.00;0.94;0.00;0.00
MCOS_0000029701-mRNA-1;8.00;1.48;5.00;0.76;19.00;3.52;2.00;0.45
MCOS_0000030701-mRNA-1;10.39;0.71;16.79;0.95;0.86;0.06;8.46;0.70
MCOS_0000033401-mRNA-1;2.03;3.57;1.02;1.42;2.12;3.70;0.00;0.00
MCOS_0000033701-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000033901-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000034001-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000035801-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000035901-mRNA-1;1.00;0.27;0.00;0.00;2.00;0.54;0.00;0.00
MCOS_0000036401-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000036501-mRNA-1;0.00;0.00;0.00;0.00;2.00;2.60;1.00;1.48
MCOS_0000037501-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000037601-mRNA-1;102.00;83.42;70.00;45.83;89.00;72.40;48.00;45.02
MCOS_0000039201-mRNA-1;30.84;1.49;58.00;2.32;57.29;2.77;27.00;1.60
MCOS_0000040301-mRNA-1;207.00;431.97;199.00;328.24;187.00;386.91;203.00;470.40
MCOS_0000040801-mRNA-1;0.00;0.00;1.00;0.29;0.00;0.00;0.00;0.00
MCOS_0000042901-mRNA-1;0.00;0.00;0.00;0.00;0.07;0.01;0.00;0.00
MCOS_0000043101-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000045001-mRNA-1;1107.00;1448.64;1701.00;1769.98;1170.00;1520.46;1963.00;2898.40
MCOS_0000046101-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000046901-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000048001-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000049601-mRNA-1;0.00;0.00;8.00;1.01;3.00;0.46;3.00;0.56
MCOS_0000050801-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000050901-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000052101-mRNA-1;2.44;1.28;5.72;2.41;4.51;2.35;0.00;0.00
MCOS_0000052701-mRNA-1;282.71;72.41;280.26;58.55;198.93;50.82;246.40;75.09
MCOS_0000052801-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000054101-mRNA-1;4.82;0.74;0.00;0.00;4.66;0.71;0.00;0.00
MCOS_0000054201-mRNA-1;0.00;0.00;0.00;0.00;14.13;3.40;0.00;0.00
MCOS_0000054301-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000054601-mRNA-1;4.18;2.07;4.97;1.98;0.00;0.00;0.00;0.00
MCOS_0000056601-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.30
MCOS_0000057801-mRNA-1;1.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00
MCOS_0000058001-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000058101-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000059501-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000059601-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000060201-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000060401-mRNA-1;0.00;0.00;0.00;0.00;6.71;1.95;0.81;0.28
MCOS_0000060501-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000060701-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000062101-mRNA-1;154.26;65.86;182.06;62.89;125.35;53.33;95.17;47.62
MCOS_0000062401-mRNA-1;906.80;87.61;970.01;77.25;1215.14;117.25;757.27;88.70
MCOS_0000062701-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000063301-mRNA-1;2229.00;3791.89;2340.00;3154.42;1437.00;2425.38;1977.00;3760.77
MCOS_0000064201-mRNA-1;185.78;29.99;296.86;39.32;206.14;33.22;134.19;26.05
MCOS_0000067201-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000067401-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000068101-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000068501-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000070301-mRNA-1;6841.00;6108.31;6359.00;4539.57;4442.00;3943.86;5158.00;5265.49
MCOS_0000070801-mRNA-1;12.52;2.18;1.02;0.15;0.53;0.09;4.47;0.93
MCOS_0000071301-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000072001-mRNA-1;2.03;0.67;6.42;1.72;0.00;0.00;0.00;0.00
MCOS_0000072301-mRNA-1;2.00;0.36;11.00;1.62;11.00;1.98;2.00;0.43
MCOS_0000073401-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000073701-mRNA-1;169.00;16.33;209.00;16.65;167.00;16.11;126.00;14.76
MCOS_0000073801-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000074401-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000074701-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000075101-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000077201-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000078801-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000079001-mRNA-1;464.32;36.82;633.11;41.44;476.62;37.75;332.35;32.02
MCOS_0000079301-mRNA-1;0.00;0.00;4.00;0.90;3.00;0.83;0.00;0.00
MCOS_0000081101-mRNA-1;2.00;0.34;7.00;0.97;23.00;3.88;5.00;1.02
MCOS_0000081601-mRNA-1;288.00;104.49;236.00;69.45;195.00;70.52;246.00;105.14
MCOS_0000082401-mRNA-1;0.00;0.00;0.00;0.00;1.00;0.47;0.00;0.00
MCOS_0000082701-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000084201-mRNA-1;147.00;13.98;150.00;11.76;299.00;28.41;88.00;10.15
MCOS_0000084301-mRNA-1;886.00;78.84;1486.00;109.06;1021.00;90.74;696.00;75.16
MCOS_0000085701-mRNA-1;0.00;0.00;5.61;0.59;0.00;0.00;0.00;0.00
MCOS_0000087001-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000087501-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000087801-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000088201-mRNA-1;1167.00;2435.31;1311.00;2162.41;1043.00;2158.00;2224.00;5153.59
MCOS_0000091701-mRNA-1;352.00;63.42;355.00;52.42;430.00;77.32;372.00;80.43
MCOS_0000092801-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
