TranscriptID;IV_expectedCount;IV_TPM;IV2_expectedCount;IV2_TPM;IV3_expectedCount;IV3_TPM;IV4_expectedCount;IV4_TPM
MCOS_0000000601-mRNA-1;85.00;15.71;75.00;12.81;68.00;13.92;74.00;11.80
MCOS_0000001101-mRNA-1;0.00;0.00;8.36;3.09;6.57;2.91;12.59;4.36
MCOS_0000001301-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000003001-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000008401-mRNA-1;33.00;2.93;23.00;1.90;12.00;1.19;6.00;0.46
MCOS_0000008501-mRNA-1;40.00;4.10;26.00;2.48;24.00;2.75;27.00;2.40
MCOS_0000008601-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000010301-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000010501-mRNA-1;0.00;0.00;0.14;0.01;1.67;0.19;1.34;0.12
MCOS_0000011201-mRNA-1;15.59;2.77;22.60;3.71;16.42;3.23;20.44;3.14
MCOS_0000011901-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000012301-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000013601-mRNA-1;53.50;4.12;44.70;3.21;15.88;1.37;19.84;1.33
MCOS_0000014101-mRNA-1;4.23;0.47;1.56;0.16;0.00;0.00;0.00;0.00
MCOS_0000014501-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000015701-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000015801-mRNA-1;12.00;0.40;18.00;0.56;5.00;0.19;3.00;0.09
MCOS_0000016001-mRNA-1;148.65;26.30;197.66;32.34;156.09;30.62;179.64;27.45
MCOS_0000019001-mRNA-1;30.21;10.90;52.68;17.32;45.88;18.06;88.57;27.26
MCOS_0000021101-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000021701-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000023601-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000025001-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000025201-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000025401-mRNA-1;0.00;0.00;0.00;0.00;0.36;0.40;0.21;0.19
MCOS_0000025801-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000026401-mRNA-1;4170.00;301.71;4318.00;291.40;3064.00;248.19;3008.00;189.40
MCOS_0000026501-mRNA-1;5108.00;383.54;4751.00;332.65;3162.00;265.74;3933.00;256.94
MCOS_0000026801-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000027501-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000027701-mRNA-1;14.05;0.70;11.55;0.54;5.26;0.29;5.57;0.24
MCOS_0000028001-mRNA-1;21.00;6.43;25.00;7.00;4.00;1.34;8.00;2.10
MCOS_0000028601-mRNA-1;16.15;3.39;0.00;0.00;0.00;0.00;7.25;1.31
MCOS_0000029401-mRNA-1;16.00;18.86;38.00;39.05;20.00;24.56;22.00;21.38
MCOS_0000029601-mRNA-1;1.00;1.07;2.00;1.87;0.00;0.00;1.00;0.88
MCOS_0000029701-mRNA-1;8.00;1.67;7.00;1.34;5.00;1.15;3.00;0.54
MCOS_0000030701-mRNA-1;0.00;0.00;1.31;0.09;0.00;0.00;6.58;0.44
MCOS_0000033401-mRNA-1;1.07;2.11;0.00;0.00;2.04;4.10;0.00;0.00
MCOS_0000033701-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000033901-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000034001-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000035801-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000035901-mRNA-1;0.00;0.00;2.00;0.56;1.00;0.34;0.00;0.00
MCOS_0000036401-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000036501-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000037501-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000037601-mRNA-1;79.00;72.63;106.00;85.86;65.00;62.93;95.00;72.57
MCOS_0000039201-mRNA-1;24.16;1.31;31.67;1.61;8.64;0.53;22.00;1.04
MCOS_0000040301-mRNA-1;139.00;326.10;149.00;295.44;155.00;366.94;168.00;317.84
MCOS_0000040801-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000042901-mRNA-1;1.00;0.11;1.00;0.11;0.00;0.00;0.00;0.00
MCOS_0000043101-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000045001-mRNA-1;1437.00;2114.98;1300.00;1651.51;1597.00;2423.21;2646.00;3187.51
MCOS_0000046101-mRNA-1;0.00;0.00;0.00;0.00;1.00;0.07;0.00;0.00
MCOS_0000046901-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000048001-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000049601-mRNA-1;2.00;0.35;1.00;0.16;0.00;0.00;0.00;0.00
MCOS_0000050801-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000050901-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000052101-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;18.23;9.02
MCOS_0000052701-mRNA-1;285.35;82.02;364.03;95.87;325.18;102.60;436.35;107.48
MCOS_0000052801-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000054101-mRNA-1;3.65;0.63;2.04;0.32;18.84;3.58;0.00;0.00
MCOS_0000054201-mRNA-1;2.28;0.62;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000054301-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000054601-mRNA-1;5.23;2.90;2.49;1.24;3.47;2.07;3.58;1.67
MCOS_0000056601-mRNA-1;0.00;0.00;0.00;0.00;2.00;0.61;1.00;0.24
MCOS_0000057801-mRNA-1;1.00;0.00;0.00;0.00;5.00;0.00;0.00;0.00
MCOS_0000058001-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000058101-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000059501-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000059601-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000060201-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000060401-mRNA-1;5.34;1.75;0.00;0.00;0.00;0.00;2.00;0.56
MCOS_0000060501-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000060701-mRNA-1;0.00;0.00;0.00;0.00;1.00;0.08;0.00;0.00
MCOS_0000062101-mRNA-1;95.12;45.60;108.46;46.95;71.73;37.16;88.37;35.88
MCOS_0000062401-mRNA-1;917.45;99.50;873.33;88.07;622.27;75.30;742.74;69.91
MCOS_0000062701-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000063301-mRNA-1;2095.00;4007.91;2855.00;4659.07;2589.00;5045.04;4272.00;6633.36
MCOS_0000064201-mRNA-1;221.40;40.11;182.40;30.54;117.96;23.69;161.36;25.24
MCOS_0000067201-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000067401-mRNA-1;1.00;0.19;0.00;0.00;0.00;0.00;1.00;0.16
MCOS_0000068101-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000068501-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000070301-mRNA-1;4620.00;4637.84;5743.00;5060.37;5208.00;5483.82;7995.00;6650.29
MCOS_0000070801-mRNA-1;6.34;1.24;5.05;0.91;3.80;0.82;0.00;0.00
MCOS_0000071301-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000072001-mRNA-1;7.13;2.64;0.00;0.00;1.18;0.48;0.31;0.10
MCOS_0000072301-mRNA-1;1.00;0.20;2.00;0.37;5.00;1.12;3.00;0.52
MCOS_0000073401-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000073701-mRNA-1;181.00;19.63;164.00;16.54;114.00;13.80;147.00;13.84
MCOS_0000073801-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000074401-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000074701-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000075101-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000077201-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000078801-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000079001-mRNA-1;376.09;33.48;324.61;26.91;328.72;32.71;393.87;30.48
MCOS_0000079301-mRNA-1;2.08;0.64;0.00;0.00;2.00;0.68;2.11;0.56
MCOS_0000081101-mRNA-1;10.00;1.90;15.00;2.63;9.00;1.89;6.00;0.98
MCOS_0000081601-mRNA-1;245.00;99.78;263.00;97.23;235.00;104.00;346.00;119.84
MCOS_0000082401-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000082701-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000084201-mRNA-1;170.00;18.15;183.00;18.17;120.00;14.30;84.00;7.79
MCOS_0000084301-mRNA-1;776.00;77.51;637.00;59.21;492.00;54.88;540.00;46.84
MCOS_0000085701-mRNA-1;36.48;5.27;46.17;6.19;18.52;2.98;11.26;1.41
MCOS_0000087001-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000087501-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000087801-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000088201-mRNA-1;1638.00;3842.83;1486.00;2946.51;2502.00;5923.07;3317.00;6275.42
MCOS_0000091701-mRNA-1;392.00;79.27;420.00;78.36;387.00;86.56;421.00;73.39
MCOS_0000092801-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000092901-mRNA-1;7.01;0.24;5.78;0.18;0.00;0.00;0.00;0.00
MCOS_0000094801-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000095301-mRNA-1;284.00;372.49;293.00;333.41;411.00;558.67;587.00;632.49
MCOS_0000099001-mRNA-1;83.57;12.27;51.10;6.95;55.54;9.06;83.18;10.57
MCOS_0000101001-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000102801-mRNA-1;53.00;14.08;37.00;9.02;28.00;8.18;29.00;6.61
MCOS_0000102901-mRNA-1;11.00;13.43;9.00;9.56;3.00;3.81;8.00;8.04
MCOS_0000105401-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000106601-mRNA-1;102.76;23.13;57.65;11.95;41.06;10.20;9.83;1.90
MCOS_0000109901-mRNA-1;1114.64;369.37;1324.07;400.60;973.34;352.69;1216.65;344.50
MCOS_0000111301-mRNA-1;0.00;0.00;0.00;0.00;1.00;0.24;0.00;0.00
MCOS_0000113901-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000116301-mRNA-1;34.67;3.43;29.62;2.72;26.91;2.97;21.84;1.87
MCOS_0000117301-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.20;0.11
MCOS_0000118001-mRNA-1;0.00;0.00;12.38;2.72;0.00;0.00;0.00;0.00
MCOS_0000120001-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000120101-mRNA-1;109.01;41.45;148.09;51.21;109.11;45.17;163.12;52.83
MCOS_0000120501-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000121001-mRNA-1;0.31;0.44;1.05;1.28;0.00;0.00;0.00;0.00
MCOS_0000122601-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000123301-mRNA-1;323.00;35.73;328.00;33.73;234.00;28.87;233.00;22.36
MCOS_0000123701-mRNA-1;0.00;0.00;4.08;0.65;0.00;0.00;5.93;0.89
MCOS_0000123901-mRNA-1;146.00;16.08;173.00;17.72;137.00;16.84;165.00;15.78
MCOS_0000124001-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000124101-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000125601-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000126001-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000126601-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000126801-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000127801-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000128501-mRNA-1;239.90;49.23;337.65;63.91;270.19;61.31;317.96;56.23
MCOS_0000128901-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.41;0.58
MCOS_0000129301-mRNA-1;196.91;197.67;180.59;159.13;172.00;181.11;203.89;169.60
MCOS_0000129801-mRNA-1;0.45;0.14;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000130201-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000130401-mRNA-1;5.69;2.74;5.34;2.32;2.50;1.30;5.29;2.16
MCOS_0000130601-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000131701-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000134501-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000134701-mRNA-1;20.53;2.59;23.59;2.76;3.75;0.53;2.84;0.31
MCOS_0000137101-mRNA-1;139.06;24.25;140.95;22.73;106.22;20.54;119.76;18.04
MCOS_0000138501-mRNA-1;1.00;0.39;1.00;0.35;0.00;0.00;0.00;0.00
MCOS_0000139401-mRNA-1;223.17;27.53;239.26;27.41;136.57;18.77;174.44;18.66
MCOS_0000141801-mRNA-1;1.04;0.10;3.37;0.31;1.16;0.13;0.00;0.00
MCOS_0000142401-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000144701-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000147701-mRNA-1;195.00;79.42;175.00;64.70;184.00;81.43;233.00;80.70
