Transcipt	KEGG_ID
MCU_005343-RA	K11995
MCU_008757-RA	K24243
MCU_007046-RB	K17095
MCU_013340-RA	
MCU_011036-RA	
MCU_013716-RA	K24834
MCU_004110-RA	
MCU_010913-RA	
MCU_005386-RA	
MCU_011862-RA	K20412
MCU_008723-RA	K20412
MCU_004822-RA	
MCU_000195-RA	
MCU_009410-RA	K01077
MCU_004821-RA	
MCU_003186-RA	K01052
MCU_004157-RB	
MCU_011535-RA	K24834
MCU_004789-RA	K18398
MCU_009411-RA	K01077
MCU_006447-RA	K19919
MCU_012854-RA	K24834
MCOS_0000616901-mRNA-1	K13421
MCU_007601-RB	
MCU_007601-RA	
MCOS_0001049001-mRNA-1	
MCU_007046-RA	K17089
MCU_008018-RA	K17353
MCU_000211-RA	
MCU_004109-RA	K24836
MCU_004179-RB	
MCU_011868-RA	
MCU_006635-RC	K00760
MCU_003732-RA	
MCU_007892-RA	
MCU_014072-RA	K24243
MCU_006997-RA	K07299
MCU_013603-RA	
MCU_008959-RA	
MCU_006511-RA	K10355
MCU_010505-RA	K20412
MCU_011847-RA	K05613
MCU_012212-RA	
MCU_011041-RA	K24243
MCU_008478-RB	
MCU_000419-RA	K11536
MCU_014238-RA	
MCU_012543-RA	
MCU_011015-RA	K06052
MCU_000053-RA	K01915
MCU_011421-RB	K04712
MCU_008739-RB	K20412
MCU_014191-RA	
MCU_002070-RA	K24836
MCU_002840-RB	K10373
MCU_006711-RA	K20412
MCU_003883-RC	
MCU_004199-RA	K13866
MCU_011961-RA	K10461
MCU_004650-RA	K20412
MCU_000435-RA	K01613
MCU_010902-RA	
MCU_011681-RA	K20412
MCU_009167-RA	
MCU_008154-RA	K01365
MCU_001537-RA	
MCU_009051-RA	K20056
MCU_004653-RA	K20412
MCU_012433-RA	K24834
MCU_002383-RB	
MCU_005853-RB	K01887
MCU_009688-RB	
MCU_010829-RC	
MCU_011621-RA	K20412
MCU_002160-RA	
MCU_006139-RA	
MCOS_0000792601-mRNA-1	
MCU_000164-RA	
MCOS_0000817401-mRNA-1	
MCU_002230-RA	
MCU_004255-RA	
MCU_008758-RA	
MCU_006137-RA	K20412
MCU_011345-RA	K09866
MCU_004820-RA	
MCU_009753-RA	
MCU_005393-RA	
MCU_004792-RA	K18398
MCU_009298-RA	
MCU_008516-RA	K07249
MCU_011866-RB	
MCU_004792-RC	K18398
MCU_013758-RA	K20412
MCU_007034-RA	
MCU_002071-RB	
MCU_014773-RA	
MCU_010278-RA	
MCU_006268-RB	K21635
MCU_012704-RA	K10442
MCU_002156-RA	K01365
MCU_006141-RA	
MCU_011986-RA	
MCU_003236-RA	K16330
MCOS_0000883601-mRNA-1	
MCU_003681-RB	K15100
MCU_000184-RA	K24834
MCU_011707-RA	K20412
MCU_010485-RA	K11826
MCU_006406-RA	K04460
MCU_005129-RA	
MCU_011407-RA	
MCU_004474-RG	
MCU_007086-RA	K01698
MCU_008986-RA	K14165
MCU_006635-RA	K00760
MCU_006136-RA	
MCU_004116-RB	
MCU_008445-RB	
MCU_011997-RB	K05698
MCU_007977-RA	
MCU_006720-RA	K00717
MCU_007598-RA	K09490
MCU_006164-RA	K22204
MCU_010044-RA	K05758
MCU_010424-RA	K00753
MCU_010796-RA	
MCU_002198-RA	K13997
MCU_009476-RB	
MCU_001792-RA	K18695
MCU_006442-RA	
MCU_007189-RA	K20412
MCU_006156-RA	K01255
MCU_008161-RA	K03267
MCU_010721-RA	
MCU_007998-RA	K23739
MCU_013160-RA	
MCU_004568-RB	K01836
MCU_000200-RA	
MCU_006712-RA	K24243
MCU_009408-RA	
MCU_012577-RB	
MCU_009106-RB	K20412
MCU_012025-RA	K24834
MCU_004795-RA	K18398
MCU_007032-RA	
MCU_009149-RD	
MCU_000181-RA	
MCU_000186-RA	K24834
MCU_004590-RA	
MCU_007519-RA	
MCU_006140-RA	K20412
MCU_009341-RA	K24243
MCU_001295-RA	K17598
MCU_007026-RA	
MCU_004020-RA	
MCU_008611-RA	K05692
MCU_006123-RB	
MCU_003474-RA	K20235
MCU_010797-RA	
MCU_012017-RA	K01785
MCU_003942-RA	K06497
MCU_007885-RA	K15292
MCU_007022-RE	
MCU_009755-RA	
MCU_001101-RA	K00844
MCU_005617-RC	
MCU_012765-RB	
MCU_005301-RA	K05349
MCU_012498-RA	K16910
MCU_014000-RA	
MCU_011443-RB	K01754
MCU_002148-RB	K01255
MCU_010672-RA	K07887
MCU_007811-RA	K07512
MCU_000359-RA	
MCU_006589-RB	K19656
MCU_010700-RC	K01611
MCU_010240-RA	
MCU_005046-RA	K00639
MCU_008794-RA	
MCU_007133-RA	
MCU_005899-RA	K19942
MCU_010829-RA	
MCU_011727-RA	K06497
MCU_012053-RA	K01597
MCU_005492-RA	
MCU_008284-RA	
MCU_006060-RA	K00753
MCU_000494-RA	K17261
MCU_010749-RA	K24834
MCU_000497-RA	K04239
MCU_005567-RA	
MCU_002330-RA	K00717
MCU_006988-RA	
MCU_000182-RA	K24834
MCU_012221-RA	K08752
MCU_006161-RA	K01641
MCU_001795-RA	
MCU_008520-RA	K06497
MCU_000833-RA	K12485
MCU_008011-RA	
MCU_001115-RA	K23843
MCU_000888-RC	K14555
MCU_005676-RA	
MCU_002338-RA	K15105
MCU_009662-RA	
MCU_011180-RA	K10258
MCU_011323-RA	K14648
MCU_008080-RA	K14709
MCU_008170-RA	
MCU_002615-RB	K05613
MCU_003377-RA	
MCU_009390-RA	
MCU_007718-RA	
MCU_008478-RA	
MCU_008637-RA	K24834
MCU_006550-RA	K01676
MCU_002550-RA	K20412
MCU_009814-RA	K13289
MCU_004111-RA	K24243
MCU_008458-RA	
MCU_008532-RA	
MCU_006851-RB	K12389
MCU_009754-RA	K24834
MCU_010279-RA	
MCU_006125-RB	K15789
MCU_002538-RA	K00382
MCU_002230-RB	
MCU_012628-RA	
MCU_006544-RA	
MCU_006991-RA	
MCU_007698-RA	
MCU_011957-RA	
MCU_007875-RB	K00658
MCU_006707-RA	
MCU_013033-RA	K18398
MCU_012613-RB	K05312
MCU_005939-RB	K05291
MCU_002383-RD	
MCU_004983-RA	K02599
MCU_010888-RA	
MCU_003033-RB	K05849
MCU_004040-RA	
MCU_004585-RA	K13885
MCU_003308-RA	K00207
MCU_001561-RA	
MCU_006372-RD	K17988
MCU_000183-RA	
MCU_002251-RA	
MCU_003033-RC	K05849
MCU_004106-RA	
MCU_002990-RB	
MCU_007878-RA	
MCU_003983-RA	
MCU_002489-RA	K24015
MCU_008236-RA	K24725
MCU_003859-RA	K03027
MCU_009587-RD	
MCU_001950-RA	
MCU_003138-RA	
MCU_007509-RA	
MCU_010281-RA	K24834
MCU_008738-RA	K24834
MCU_004127-RA	K19902
MCU_001549-RA	
MCU_004342-RB	K04570
MCU_002069-RA	K20412
MCU_005078-RA	K24243
MCU_002245-RC	K11322
MCU_007432-RA	K05692
MCU_000013-RB	K12893
MCU_001112-RA	
MCU_004649-RB	K24834
MCU_007493-RB	K00463
MCU_009621-RB	
MCU_004935-RA	K11247
MCU_006617-RA	K24834
MCU_011486-RA	
MCU_006477-RA	K04097
MCU_000318-RA	K01431
MCU_004755-RA	K13566
MCU_006138-RA	
MCU_005385-RA	K20412
MCU_006104-RA	
MCU_004868-RB	
MCU_002244-RA	K19519
MCU_007296-RA	
MCU_010950-RA	K00016
MCU_012790-RA	K10250
MCU_007027-RA	K12384
MCU_004656-RB	
MCOS_0000404001-mRNA-1	
MCU_009544-RB	
MCU_006196-RB	K03783
MCU_003369-RB	K12757
MCU_008399-RA	
MCU_005323-RA	
MCU_014566-RA	
MCU_007075-RA	K02187
MCU_002804-RA	K19938
MCU_006864-RA	
MCU_000361-RB	
MCU_003883-RD	K20412
MCU_006840-RB	K13806
MCU_006633-RA	K00760
MCU_010799-RA	K06943
MCU_010677-RA	
MCU_004639-RA	K23532
MCU_009400-RC	
MCU_007892-RB	
MCU_008612-RA	
MCU_009025-RB	
MCOS_0000886201-mRNA-1	K03937
MCU_005798-RA	K10345
MCU_000650-RA	K12823
MCU_009751-RA	
MCU_000023-RA	K12196
MCU_004815-RB	K14376
MCU_013052-RC	K04362
MCU_005209-RA	K01593
MCU_001649-RA	
MCU_014001-RA	
MCU_006380-RB	
MCU_003537-RA	
MCU_012874-RA	
MCU_005803-RA	
MCU_000428-RA	K17277
MCU_001456-RD	K13421
MCU_000191-RA	K20412
MCU_011889-RC	
MCU_006167-RA	K13084
MCU_009285-RA	K05658
MCU_013976-RA	
MCU_012212-RB	
MCU_008529-RA	
MCU_006691-RB	K13126
MCU_006197-RA	K03783
MCU_011405-RA	K18420
MCU_012083-RA	
MCU_005289-RA	K05757
MCU_001839-RC	
MCU_004245-RA	K14797
MCOS_0000428801-mRNA-1	
MCU_014357-RA	
MCU_012372-RB	K07417
MCU_004907-RA	
MCU_010542-RC	K10448
MCU_006238-RA	K10418
MCU_008299-RA	K18245
MCU_014071-RA	
MCU_010191-RA	
MCU_003304-RA	
