Transcript	KEGG_ID
MCU_000686-RB	K11803
MCU_000473-RC	K20285
MCU_007074-RC	
MCU_011791-RA	K02649
MCU_008376-RA	K04491
MCU_004110-RA	
MCU_006136-RA	
MCU_010551-RA	
MCU_004200-RB	
MCU_001792-RA	K18695
MCU_011594-RA	K00816
MCU_004157-RB	
MCU_001595-RA	K20412
MCU_011681-RA	K20412
MCU_012951-RA	
MCU_000341-RA	K13278
MCU_011041-RA	K24243
MCU_004040-RA	
MCU_005708-RC	K19525
MCU_003006-RA	K05218
MCU_007487-RB	
MCU_002535-RB	K21763
MCU_003807-RD	K10615
MCU_002958-RD	
MCU_005290-RD	K00637
MCU_003935-RE
