Transcipt	KEGG_ID
MCU_000195-RA	
MCU_005343-RA	K11995
MCU_009411-RA	K01077
MCU_009410-RA	K01077
MCU_011036-RA	
MCU_013340-RA	
MCU_004821-RA	
MCOS_0000616901-mRNA-1	K13421
MCU_008478-RB	
MCU_011535-RA	K24834
MCU_004157-RB	
MCU_001456-RD	K13421
MCU_011041-RA	K24243
MCU_004822-RA	
MCU_011868-RA	
MCU_012854-RA	K24834
MCU_012212-RA	
MCU_011862-RA	K20412
MCU_005386-RA	
MCU_011681-RA	K20412
MCU_003304-RA	
MCU_004983-RA	K02599
MCU_000419-RA	K11536
MCU_003377-RA	
MCU_002070-RA	K24836
MCU_000211-RA	
MCU_007046-RB	K17095
MCU_014238-RA	
MCU_013716-RA	K24834
MCU_004109-RA	K24836
MCU_003186-RA	K01052
MCU_011727-RA	K06497
MCU_000053-RA	K01915
MCU_004792-RC	K18398
MCU_010240-RA	
MCOS_0001049001-mRNA-1	
MCU_008018-RA	K17353
MCU_008757-RA	K24243
MCU_000608-RA	
MCU_012543-RA	
MCU_011594-RA	K00816
MCU_012704-RA	K10442
MCU_003369-RB	K12757
MCU_006137-RA	K20412
MCU_010505-RA	K20412
MCU_006635-RC	K00760
MCU_003732-RA	
MCU_004820-RA	
MCU_014191-RA	
MCU_010278-RA	
MCU_006711-RA	K20412
MCU_004795-RA	K18398
MCU_010913-RA	
MCU_007086-RA	K01698
MCU_005046-RA	K00639
MCU_007875-RB	K00658
MCU_006447-RA	K19919
MCU_002160-RA	
MCU_002244-RA	K19519
MCU_008154-RA	K01365
MCU_011847-RA	K05613
MCOS_0000792601-mRNA-1	
MCU_006712-RA	K24243
MCU_010829-RC	
MCOS_0000817401-mRNA-1	
MCU_009298-RA	
MCU_006633-RA	K00760
MCU_009814-RA	K13289
MCU_006635-RA	K00760
MCU_006511-RA	K10355
MCU_002840-RB	K10373
MCU_010797-RA	
MCU_011986-RA	
MCU_000186-RA	K24834
MCU_004653-RA	K20412
MCU_009252-RB	K00134
MCU_010902-RA	
MCU_006139-RA	
MCU_008080-RA	K14709
MCOS_0000883601-mRNA-1	
MCU_002071-RB	
MCU_010424-RA	K00753
MCU_011561-RA	K00844
MCU_002250-RA	K19719
MCU_007046-RA	K17089
MCU_010721-RA	
MCU_007878-RA	
MCU_000443-RB	K00234
MCU_003451-RA	
MCU_010796-RA	
MCU_001817-RA	
MCU_007519-RA	
MCU_006997-RA	K07299
MCU_000164-RA	
MCU_001595-RA	K20412
MCU_011961-RA	K10461
MCU_011997-RB	K05698
MCU_002489-RA	K24015
MCU_000696-RA	K09209
MCU_005218-RA	
MCU_011407-RA	
